,Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level,split
890,Efavirenz,EFAVIRENZ,EFAVIRENZ,Arrhythmia,wp,most,QTc prolongation,moderate,train
891,CELECOXIB,CELECOXIB,CELECOXIB,Heart Damage,bw,most,myocardial infarction,severe,train
892,Cefadroxil,CEFADROXIL HEMIHYDRATE,CEFADROXIL HEMIHYDRATE,,no,no,,,train
893,Sumatriptan Succinate,SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,Mixed,wp,most,acute myocardial infarction/ventricular tachycardia,severe,train
894,Haloperidol,HALOPERIDOL,HALOPERIDOL,Arrhythmia,wp,most,sudden death/Torsades de Pointes,severe,test
895,Clozapine,CLOZAPINE,CLOZAPINE,Mixed,bw,most,Cardiomyopathy/QT Interval Prolongation:,severe,test
896,Erlotinib,ERLOTINIB,ERLOTINIB,,sp,ambiguous,myocardial infarction( combination),severe,test
897,Azithromycin,AZITHROMYCIN,AZITHROMYCIN ANHYDROUS,Arrhythmia,wp,most,Prolonged QT interval,moderate,test
898,Abacavir,ABACAVIR,ABACAVIR SULFATE,Heart Damage,wp,most,myocardial infarction,severe,test
899,QUINIDINE SULFATE,QUINIDINE SULFATE TABLET,QUINIDINE SULFATE,Arrhythmia,wp,most,prolongs the QT interval,moderate,train
900,Irbesartan,IRBESARTAN,IRBESARTAN,,sp,ambiguous,symptomatic hypotension,mild,train
901,Prednisolone Sodium Phosphate,PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE,Heart Damage,wp,less,elevation of blood pressure,mild,train
902,Fosamprenavir Calcium,FOSAMPRENAVIR CALCIUM,FOSAMPRENAVIR CALCIUM,Heart Damage,ar,less,Myocardial infarction,severe,test
903,Isosorbide Dinitrate,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,Heart Damage,wp,less,hypotension,mild,train
904,Nifedipine,NIFEDIPINE,NIFEDIPINE,Mixed,ar,less,cardiac arrest/hypotension,severe,train
905,Fluoxetine,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,Arrhythmia,wp,most,QT Prolongation,moderate,test
906,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,Mixed,ar,less,hypotension/cardiac arrest,mild,test
907,Ampicillin,AMPICILLIN,AMPICILLIN TRIHYDRATE,,no,no,,,train
908,Ambrisentan,AMBRISENTAN,AMBRISENTAN,Heart Damage,ar,less,hypotension,severe,test
909,Mycophenolic Acid,MYCOPHENILIC ACID,MYCOPHENOLIC ACID,Mixed,ar,less,Tachycardia/hypotension,mild,test
910,Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM HEMI-PENTAHYDRATE,Heart Damage,ar,less,Hypertension,mild,train
911,Colchicine,COLCHICINE,COLCHICEINE,,no,no,,,test
912,Sotalol Hydrochloride,SOTALOL HYDROCHLORIDE,SOTALOL HYDROCHLORIDE,Mixed,bw,most," life-threatening ventricular
tachycardia /Heart Failure",severe,train
913,Meclizine Hydrochloride,MECLIZINE HYDROCHLORIDE,MECLIZINE HYDROCHLORIDE,,no,no,,,test
914,TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,,no,no,,,test
915,Baclofen,BACLOFEN,BACLOFEN,Mixed,ar,less,palpitation/chest pain,mild,test
916,Bethanechol Chloride,BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE,Mixed,ar,less,all in blood pressure with reflex tachycardia,mild,train
917,Clarithromycin,CLARITHROMYCIN,CLARITHROMYCIN,Arrhythmia,wp,most,prolongation of the QT interval,moderate,test
918,CHLORZOXAZONE,CHLORZOXAZONE,CHLORZOXAZONE,,no,no,,,train
919,PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,Arrhythmia,ar,less,QT interval prolongation,moderate,test
920,Venlafaxine Hydrochloride,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE,Heart Damage,wp,less,hypertension,mild,test
921,vigabatrin,VIGABATRIN,VIGABATRIN,,no,no,no indication of a QT/QTc prolonging effect,,test
922,Penicillamine,PENICILLAMINE,PENICILLAMINE,,no,no,,,train
923,Sevelamer Hydrochloride,SEVELAMER HYDROCHLORIDE,SEVELAMER HYDROCHLORIDE,,no,no,,,test
924,Metaproterenol Sulfate,METAPROTERENOL SULFATE,METAPROTERENOL SULFATE,Mixed,wp,less,ECG/blood pressure changes,mild,train
925,VALGANCICLOVIR HYDROCHLORIDE,VALGANCICLOVIR,VALGANCICLOVIR,Mixed,ar,less,arrhythmia/hypotension,mild,test
926,Liothyronine sodium,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,Mixed,ar,less,arrhythmias/heart failure,severe,train
927,Prasugrel,PRASUGREL,PRASUGREL HYDROCHLORIDE,Mixed,ar,less,Atrial fibrillation/Hypotension,mild,train
928,emtricitabine,EMTRICITABINE,EMTRICITABINE,,no,no,,,train
929,Valacyclovir Hydrochloride,VALACYCLOVIR,VALACYCLOVIR HYDROCHLORIDE,,no,no,,,train
930,GAVILAX,GAVILAX,POLYETHYLENE GLYCOL 3350,,no,no,,,test
931,Desloratadine,DESLORATADINE,DESLORATADINE,,CLINICAL PHARMACOLOGY,no,No clinically relevant adverse events,,test
932,PERPHENAZINE,PERPHENAZINE,PERPHENAZINE,Mixed,ar,less,cardiac arrest/hypotension,severe,train
933,DIMETHYL FUMARATE,DIMETHYL FUMARATE,DIMETHYL FUMARATE,,CLINICAL PHARMACOLOGY,no, not caused QT interval prolongation,,train
934,Bromocriptine Mesylate,BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,Heart Damage,wp,most,myocardial infarction,severe,test
935,Nadolol,NADOLOL,NADOLOL,Mixed,ar,less,Cardiac failure/rhythm,severe,test
936,Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE,Mixed,wp,most,myocardial infarction/bradycardia,severe,train
937,Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM MONOHYDRATE,Heart Damage,ar,less,Hypertension,mild,test
938,Albendazole,ALBENDAZOLE,ALBENDAZOLE,,no,no,,,train
939,Indapamide,INDAPAMIDE,INDAPAMIDE,Mixed,ar,less,hypotension/Palpitations,mild,test
940,Ezetimibe,EZETIMIBE,EZETIMIBE,,no,no,,,test
941,Abiraterone Acetate,ABIRATERONE ACETATE,ABIRATERONE ACETATE,Mixed,ar,less,Arrhythmia/Cardiac failure,severe,test
942,Claravis,ISOTRETINOIN,ISOTRETINOIN,Arrhythmia,ar,less,tachycardia,mild,test
943,Potassium Citrate,POTASSIUM CITRATE,POTASSIUM CITRATE,,sp,ambiguous,patient with heart failure,severe,train
944,LISINOPRIL,LISINOPRIL,LISINOPRIL,Heart Damage,wp,less,hypotension,mild,train
945,Tiagabine Hydrochloride,TIAGABINE,TIAGABINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarct/tachycardia,severe,train
946,ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,,sp,ambiguous,myocardial infarction/ischemia(with other drugs),,test
947,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,,sp,ambiguous,recurrent AF or flutter,,test
948,ropinirole hydrochloride,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,Heart Damage,wp,most,pericarditis,severe,test
949,Terazosin,TERAZOSIN,TERAZOSIN HYDROCHLORIDE,Heart Damage,wp,less,lowering of blood pressure,mild,train
950,frovatriptan succinate,FROVATRIPTAN SUCCINATE,FROVATRIPTAN SUCCINATE,Mixed,wp,most,acute myocardial infarction/Arrhythmias,severe,test
951,SILODOSIN,SILODOSIN,SILODOSIN,Heart Damage,wp,less,hypotension,mild,train
952,Darifenacin,DARIFENACIN,DARIFENACIN HYDROBROMIDE,Mixed,ar,less,palpitations /hypertension,mild,test
953,Dicyclomine hydrochloride,DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE HYDROCHLORIDE,Arrhythmia,ar,less,tachyarrhythmias,mild,train
954,CEFDINIR,CEFDINIR,CEFDINIR,Heart Damage,ar,less,cardiac failure,severe,train
955,Temazepam,TEMAZEPAM,TEMAZEPAM,Arrhythmia,ar,less,palpitations,mild,test
956,Propoxyphene,PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,train
957,moxifloxacin hydrochloride,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,Arrhythmia,wp,most,prolong the QT interval,moderate,train
958,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,test
959,THEOPHYLLINE,THEOPHYLLINE,THEOPHYLLINE,Arrhythmia,ar,less,cardiac arrhythmias,mild,test
960,Phentermine Resin ER,PHENTERMINE RESIN,PHENTERMINE,Mixed,ar,less,regurgitant cardiac valvular disease/tachycardia,severe,test
961,SILDENAFIL CITRATE,SILDENAFIL,SILDENAFIL CITRATE,Mixed,ar,less,heart failure/tachycardia,severe,train
962,stavudine,STAVUDINE,STAVUDINE,,no,no,,,train
963,Imipramine Hydrochloride,IMIPRAMINE HYDROCHLORIDE,IMIPRAMINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarction/ arrhythmias,severe,test
964,Ranitidine,RANITIDINE,RANITIDINE HYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild,train
965,Pindolol,PINDOLOL,PINDOLOL,Mixed,ar,less,hypotension/ tachycardia ,mild,test
966,Dalfampridine,DALFAMPRIDINE,DALFAMPRIDINE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,train
967,Nevirapine,NEVIRAPINE,NEVIRAPINE HEMIHYDRATE,,no,no,,,train
968,Tizanidine,TIZANIDINE,TIZANIDINE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,train
969,POLMON,DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE MALEATE,,sp,ambiguous,patients with Cardiovascular disease,,train
970,Acebutolol Hydrochloride,ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,Mixed,ar,less,bradycardia/ heart failure,severe,train
971,Trihexyphenidyl Hydrochloride,TRIHEXYPHENIDYL HYDROCHLORIDE,TRIHEXYPHENIDYL HYDROCHLORIDE,Arrhythmia,ar,less,"Paradoxical sinus
bradycardia",mild,train
972,simvastatin,SIMVASTATIN,SIMVASTATIN,Arrhythmia,ar,less,Atrial fibrillation,mild,test
973,Miglustat,MIGLUSTAT,MIGLUSTAT,,no,no,,,train
974,Ranolazine,RANOLAZINE,RANOLAZINE,Arrhythmia,wp,most,prolongs the QTc interval,moderate,test
975,Bexarotene,BEXAROTENE,BEXAROTENE,Mixed,ar,less,right heart failure/tachycardi,severe,test
976,Ticlopidine Hydrochloride,TICLOPIDINE HYDROCHLORIDE,TICLOPIDINE HYDROCHLORIDE,,no,no,,,train
977,Bicalutamide,BICALUTAMIDE,BICALUTAMIDE,Mixed,ar,less,Congestive Heart Failure/Heart Arrest,severe,test
978,Atorvastatin calcium,ATORVASTATIN CALCIUM,ATORVASTATIN,,no,no,,,test
979,Mirtazapine,MIRTAZAPINE,MIRTAZAPINE,Arrhythmia,wp,most,prolongation of the QTc interval,moderate,train
980,Sevelamer Carbonate,SEVELAMER CARBONATE,SEVELAMER CARBONATE,,no,no,,,train
981,Chlorpromazine Hydrochloride,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,Mixed,ar,less,hypotension/tachycardia,mild,train
982,Lactulose,LACTULOSE,LACTULOSE,,no,no,,,test
983,Naproxen Sodium,NAPROXEN SODIUM,NAPROXEN SODIUM,Heart Damage,bw,most,myocardial infarction ,severe,test
984,Norethindrone Acetate,NORETHINDRONE,NORETHINDRONE ACETATE,,sp,ambiguous,Patients with risk factors for arterial vascular disease,,train
985,Prednisolone,PREDNISOLONE,PREDNISOLONE,Heart Damage,wp,less,elevation of blood pressure,mild,test
986,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Heart Damage,wp,less,Hypotension,mild,test
987,Lovastatin,LOVASTATIN,LOVASTATIN,,no,no,,,test
988,Androxy,FLUOXYMESTERONE,fluoxymesterone,,sp,ambiguous,patients with a history of myocardial infarction,,test
989,Rivastigmine Tartrate,RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,Arrhythmia,ar,less,Tachycardia,mild,test
990,Meprobamate,MEPROBAMATE,MEPROBAMATE,Mixed,ar,less, tachycardia/ hypotensive crisis,mild,train
991,Captopril,CAPTOPRIL,CAPTOPRIL,Heart Damage,wp,less,hypotension,mild,test
992,FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,Arrhythmia,ar,less,Tachycardia,mild,test
993,Methamphetamine Hydrochloride,METHAMPHETAMINE HYDROCHLORIDE,METHAMPHETAMINE HYDROCHLORIDE,Mixed,bw,most,SUDDEN DEATH/myocardial infarction/increase in heart rate,severe,train
994,Cefixime,CEFIXIME,CEFIXIME,,no,no,,,test
995,Seromycin,CYCLOSERINE,CYCLOSERINE,Heart Damage,ar,less,congestive heart failure ,severe,test
996,Meclofenamate Sodium,MECLOFENAMATE SODIUM,MECLOFENAMATE SODIUM,Heart Damage,bw,most,myocardial infarction,severe,train
997,Folic acid,FOLIC ACID,FOLIC ACID,,no,no,,,test
998,Nitrofurantoin,NITROFURANTOIN,NITROFURANTOIN,Arrhythmia,ar,less,Changes in EKG,mild,test
999,mycophenolate mofetil,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,Mixed,ar,less,Tachycardia/Hypertension,mild,test
1000,ketoprofen,KETOPROFEN,KETOPROFEN,Heart Damage,bw,most,myocardial infarction,severe,train
1001,Duloxetine,DULOXETINE,DULOXETINE HYDROCHLORIDE,Heart Damage,wp,less,Increases in Blood Pressure,mild,train
1002,Ramelteon,RAMELTEON,RAMELTEON,,no,no,,,train
1003,Fluconazole,FLUCONAZOLE,FLUCONAZOLE,Arrhythmia,wp,most,"prolongation of the QT
interval",moderate,test
1004,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,Mixed,wp,most,congestive heart failure/arrythmias,severe,train
1005,Imatinib Mesylate,IMATINIB MESYLATE,IMATINIB MESYLATE,Heart Damage,wp,most,Congestive Heart Failure/left ventricular dysfunction,severe,train
1006,Ivermectin,IVERMECTIN,IVERMECTIN,Mixed,ar,less,hypotension /Tachycardia,mild,train
1007,Ranitidine,RANITIDINE,RANITIDINE,Arrhythmia,ar,less,"tachycardia,bradycardia",mild,test
1008,Cortisone Acetate,CORTISONE ACETATE,CORTISONE ACETATE,Heart Damage,wp,less,elevation of blood pressure,mild,test
1009,Amlodipine Besylate,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,Heart Damage,wp,most,acute myocardial infarction,severe,train
1010,Paromomycin Sulfate,PAROMOMYCIN SULFATE,PAROMOMYCIN SULFATE,,no,no,,,train
1011,Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,,no,no,,,train
1012,Paliperidone,PALIPERIDONE,PALIPERIDONE,Arrhythmia,wp,most,QT Prolongation,moderate,train
1013,Aripiprazole,ARIPIPRAZOLE,ARIPIPRAZOLE,Heart Damage,wp,less,orthostatic hypotension,mild,train
1014,Varenicline,VARENICLINE TARTRATE,VARENICLINE TARTRATE,Mixed,ar,less,myocardial infarction/tachycardia,severe,train
1015,Valsartan,VALSARTAN,VALSARTAN,Heart Damage,wp,less,hypotension,mild,train
1016,Amoxicillin,AMOXICILLIN,AMOXICILLIN,,no,no,,,train
1017,Cimetidine,CIMETIDINE,CIMETIDINE,Arrhythmia,ar,less,tachycardia,mild,test
1018,Dexamethasone,DEXAMETHASONE,DEXAMETHASONE,Heart Damage,wp,less,elevation of blood pressure,mild,test
1019,Amiloride Hydrochloride,AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE ANHYDROUS,Mixed,ar,less,Angina pectoris/Arrhythmia,moderate,test
1020,Furosemide,FUROSEMIDE,FUROSEMIDE,Heart Damage,ar,less,hypotension,mild,test
1021,LETROZOLE,LETROZOLE,LETROZOLE,Heart Damage,ar,less,Myocardial infarction,severe,train
1022,Riluzole,RILUZOLE,RILUZOLE,Heart Damage,ar,less,hypertention,mild,test
1023,Dronabinol,DRONABINOL,Dronabinol,Mixed,ar,less,tachycardia/hypotension,mild,train
1024,Oxandrolone,OXANDROLONE,OXANDROLONE,,no,no,,,test
1025,FOSFOMYCIN TROMETHAMINE,FOSFOMYCIN TROMETHAMINE,FOSFOMYCIN TROMETHAMINE,,no,no,,,train
1026,Tamoxifen Citrate,TAMOXIFEN CITRATE,TAMOXIFEN CITRATE,Heart Damage,ar,less,Hypertension,mild,train
1027,Venlafaxine Hydrochloride,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,Heart Damage,wp,less,hypertension ,mild,train
1028,Diflunisal,DIFLUNISAL,DIFLUNISAL,Heart Damage,bw,most,myocardial infarction,severe,test
1029,Loratadine,LORATADINE,LORATADINE,,no,no,,,train
1030,Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Mixed,bw,most,resistant bradyarrhythmias/hypotension,mild,test
1031,Loperamide Hydrochloride,LOPERAMIDE HYDROCHLORIDE,LOPERAMIDE HYDROCHLORIDE,Arrhythmia,bw,most,Torsades de Pointes,severe,test
1032,Eulexin,FLUTAMIDE,FLUTAMIDE,Heart Damage,ar,less,hypertension ,mild,train
1033,Hydroxyzine hydrochloride,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE DIHYDROCHLORIDE,Arrhythmia,wp,most,QT Prolongation/Torsade de Pointes (TdP),severe,train
1034,Lubiprostone,LUBIPROSTONE,LUBIPROSTONE,Heart Damage,wp,less,hypotension ,mild,test
1035,Flurazepam Hydrochloride,FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM HYDROCHLORIDE,Mixed,ar,less,palpitations/ chest pains,mild,train
1036,Alfuzosin Hydrochloride,ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,test
1037,Tadalafil,TADALAFIL,TADALAFIL,Mixed,ar,less,angina pectoris/tachycardia,moderate,test
1038,Digoxin,DIGOXIN,DIGOXIN,Arrhythmia,wp,most, third degree heart block,moderate,test
1039,Thiothixene,THIOTHIXENE,THIOTHIXENE,Mixed,ar,less,Tachycardia/hypotension,mild,train
1040,Ursodiol,URSODIOL,URSODIOL,,no,no,,,train
1041,Propylthiouracil,PROPYLTHIOURACIL,PROPYLTHIOURACIL,,no,no,,,train
1042,Vancomycin Hydrochloride,VANCOMYCIN HYDROCHLORIDE,vancomycin hydrochloride,,no,no,,,train
1043,Selegiline Hydrochloride,SELEGILINE HYDROCHLORIDE,SELEGILINE HYDROCHLORIDE,Mixed,ar,less,"arrhythmia/new or increased angina
pectoris",mild,train
1044,Trifluoperazine Hydrochloride,TRIFLUOPERAZINE HYDROCHLORIDE,TRIFLUOPERAZINE HYDROCHLORIDE,Arrhythmia,ar,less,EKG changes,mild,test
1045,olmesartan medoxomil,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,,sp,ambiguous,Hypotension,mild,test
1046,GLIMEPIRIDE,GLIMEPIRIDE,GLIMEPIRIDE,,sp,ambiguous,Increased Risk of cardiovascular mortality,severe,train
1047,Oxazepam,OXAZEPAM,OXAZEPAM,,sp,ambiguous,patients in whom a drop in blood pressure,,test
1048,Levofloxacin,LEVOFLOXACIN,LEVOFLOXACIN,Arrhythmia,wp,most,Prolongation of the QT interval,moderate,train
1049,Trazodone Hydrochloride,TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE,Mixed,wp,most,prolongs the QT/QTc interval/Hypotension,moderate,train
1050,Cefdinir,CEFDINIR,CEFDINIR MONOHYDRATE,Heart Damage,ar,less,cardiac failure,severe,train
1051,Chloroquine Phosphate,CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,Mixed,wp,most,"cardiomyopathy/QT interval
prolongation",severe,train
1052,Amphetamine Sulfate,AMPHETAMINE SULFATE,AMPHETAMINE SULFATE,Mixed,bw,most,SUDDEN DEATH/myocardial infarction/increase in heart rate,severe,test
1053,gabapentin,GABAPENTIN,GABAPENTIN,,sp,ambiguous,hypotension(Anaphylaxis and Angioedema),mild,train
1054,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,Tizanidine,Heart Damage,wp,less,hypotension,mild,train
1055,Cefaclor,CEFACLOR,CEFACLOR,,sp,ambiguous,hypersensitivity reactions: hypotension,,train
1056,Eplerenone,EPLERENONE,EPLERENONE,Heart Damage,ar,less,angina pectoris/MI,severe,train
1057,Phendimetrazine Tartrate,PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE,Mixed,ar,less,tachycardia/ ischemic events,severe,train
1058,Propafenone,PROPAFENONE HYDROCHLORIDE,PROPAFENONE,Mixed,wp,most, Conges tive Heart Failure/Torsade de Pointes,severe,train
1059,PANTOPRAZOLE SODIUM,PANTOPRAZOLE,PANTOPRAZOLE SODIUM,,no,no,,,test
1060,CAPECITABINE,CAPECITABINE,CAPECITABINE,Mixed,wp,most,myocardial infarction/dysrhythmias,severe,test
1061,Alvimopan,ALVIMOPAN,ALVIMOPAN,Heart Damage,bw,most,myocardial infarction,severe,test
1062,Paricalcitol,PARICALCITOL,PARICALCITOL,Heart Damage,ar,less,Hypertension,mild,test
1063,Repaglinide,REPAGLINIDE,REPAGLINIDE,Heart Damage,ar,less,ischemia,severe,test
1064,Potassium Chloride,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,sp,ambiguous,cardiac arrest (patients with impaired mechanisms for excreting potassium),severe,train
1065,Cetirizine Hydrochloride,CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,Mixed,ar,less,cardiac failure/tachycardia,severe,test
1066,PRAZIQUANTEL,PRAZIQUANTEL,PRAZIQUANTEL,Arrhythmia,wp,most,ventricular fibrillation,moderate,train
1067,divalproex sodium,DIVALPROEX SODIUM,DIVALPROEX SODIUM,Mixed,ar,less,Tachycardia/ hypertension,mild,test
1068,Clorazepate Dipotassium,CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM,,no,no,,,test
1069,Allopurinol,ALLOPURINOL,ALLOPURINOL,Mixed,ar,less,Pericarditis/bradycardia,severe,test
1070,Phenytoin,PHENYTOIN,PHENYTOIN,Arrhythmia,wp,most,cardiac arrest,severe,train
1071,Warfarin Sodium,WARFARIN SODIUM,WARFARIN SODIUM,,no,no,,,test
1072,valproic acid,VALPROIC ACID,VALPROIC ACID,Mixed,ar,less,Tachycardia/hypertension,mild,train
1073,MEXILETINE HYDROCHLORIDE,MEXILETINE HYDROCHLORIDE,MEXILETINE HYDROCHLORIDE,Arrhythmia,bw,most,cardiac arrest,severe,train
1074,Mefloquine Hydrochloride,MEFLOQUINE HYDROCHLORIDE,MEFLOQUINE HYDROCHLORIDE,Arrhythmia,wp,most, prolongation of the QTc interval,moderate,test
1075,Oxymorphone hydrochloride,OXYMORPHONE HYDROCHLORIDE,OXYMORPHONE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,train
1076,Levonorgestrel,LEVONORGESTREL,LEVONORGESTREL,,no,no,,,train
1077,Escitalopram,ESCITALOPRAM,ESCITALOPRAM OXALATE,Mixed,ar,less,cardiac failure/ventricular arrhythmia,severe,test
1078,Tolterodine Tartrate,TOLTERODINE TARTRATE,TOLTERODINE TARTRATE,Arrhythmia,ar,less,Tachycardia,mild,test
1079,cephalexin,CEPHALEXIN,CEPHALEXIN ANHYDROUS,,no,no,,,test
1080,ETHOSUXIMIDE,ETHOSUXIMIDE,ETHOSUXIMIDE,,no,no,,,train
1081,Famotidine,FAMOTIDINE,FAMOTIDINE,Arrhythmia,ar,less,Prolonged QT interval,moderate,train
1082,Clonazepam,CLONAZEPAM,CLONAZEPAM,Mixed,ar,less,Palpitations/chest pain,mild,train
1083,BENZONATATE,BENZONATATE,BENZONATATE,,no,no,,,test
1084,Vardenafil Hydrochloride,VARDENAFIL HYDROCHLORIDE,VARDENAFIL HYDROCHLORIDE,Arrhythmia,wp,most,increases in QTc interval,moderate,test
1085,Fluvoxamine Maleate,FLUVOXAMINE MALEATE,FLUVOXAMINE MALEATE,Arrhythmia,ar,less,ventricular tachycardia,mild,test
1086,Carglumic Acid,CARGLUMIC ACID,CARGLUMIC ACID,,CLINICAL PHARMACOLOGY,no,lack of clinically relevant QT prolongation effect,,test
1087,Flurbiprofen,FLURBIPROFEN,FLURBIPROFEN,Heart Damage,bw,most,myocardial infarction,severe,test
1088,Azithromycin,AZITHROMYCIN,AZITHROMYCIN DIHYDRATE,Arrhythmia,wp,most,QT Prolongation,moderate,train
1089,Paser,AMINOSALICYLIC ACID,AMINOSALICYLIC ACID,Heart Damage,ar,less,pericarditis,severe,train
1090,Midodrine Hydrochloride,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE,Heart Damage,bw,most,"marked elevation
of supine blood pressure",mild,train
1091,Entecavir,ENTECAVIR,ENTECAVIR,,no,no,,,test
1092,MINOXIDIL,MINOXIDIL,MINOXIDIL,Heart Damage,bw,most,myocardial lesions,severe,train
1093,Acamprosate Calcium,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Mixed,ar,less,heart failure/tachycardia,severe,test
1094,Naproxen,NAPROXEN,NAPROXEN,Heart Damage,bw,most,myocardial infarction,severe,test
1095,Atomoxetine Hydrochloride,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,Mixed,wp,most,SUDDEN DEATH/myocardial infarction/increase in heart rate,severe,test
1096,Nimodipine,NIMODIPINE,NIMODIPINE,Arrhythmia,ar,less,palpitations,severe,train
1097,Finasteride,FINASTERIDE,FINASTERIDE,Heart Damage,ar,less,Hypotension,mild,test
1098,Methyldopa,METHYLDOPA,METHYLDOPA,Mixed,ar,less,congestive heart failure,severe,test
1099,PREGABALIN,PREGABALIN,PREGABALIN,Arrhythmia,wp,most,PR interval prolongation,moderate,train
1100,Methimazole,METHIMAZOLE,METHIMAZOLE,,no,no,,,train
1101,Atenolol,ATENOLOL,ATENOLOL,Heart Damage,wp,most,cardiac failure,severe,test
1102,Thioridazine Hydrochloride,THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,Arrhythmia,bw,most,prolong the QTc interval,severe,train
1103,Cefprozil,CEFPROZIL,CEFPROZIL,,no,no,,,train
1104,ESTRADIOL,ESTRADIOL,ESTRADIOL,Heart Damage,bw,most,myocardial infarction,severe,train
1105,Mesalamine,MESALAMINE,MESALAMINE,,sp,ambiguous,Hypersensitivity Reactions:myocarditis,severe,train
1106,Valganciclovir,VALGANCICLOVIR,VALGANCICLOVIR HYDROCHLORIDE,Mixed,ar,less,arrhythmia/hypotension,mild,train
1107,ATAZANAVIR,ATAZANAVIR,ATAZANAVIR SULFATE,Arrhythmia,wp,most,prolong the PR interval,moderate,test
