Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (Month/Day/Year),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,Query Link for Entire Search Output,Result Link for Entire Search Output,Export Date (YYYY/MM/DD) and Time for Entire Search Output
HUMAN PRESCRIPTION DRUG LABEL,"POWDER, METERED",INHALATION,NDA,210595,DUAKLIR PRESSAIR,ACLIDINIUM BROMIDE AND FORMOTEROL FUMARATE,2022/01/25,Anticholinergic; beta2-Adrenergic Agonist,2019,ASTRAZENECA PHARMACEUTICALS LP,completed:2022/08/17-2025/04/30,0310-0900,UQW7UF9N91; W34SHF8J2K,ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,ACLIDINIUM; FORMOTEROL,5ZZ84GCW8B; K17VY42F6C,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/8fdb44a3-4fe3-451c-b18f-d458c04fe7eb/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8fdb44a3-4fe3-451c-b18f-d458c04fe7eb,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8fdb44a3-4fe3-451c-b18f-d458c04fe7eb,8fdb44a3-4fe3-451c-b18f-d458c04fe7eb,,,
HUMAN PRESCRIPTION DRUG LABEL,CREAM,TOPICAL,NDA,021478,Zovirax,ACYCLOVIR,2021/02/01,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,2002,BAUSCH HEALTH US LLC,2002/12/30-,0187-0994,X4HES1O11F,acyclovir,acyclovir,X4HES1O11F,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/125dbe4e-94ba-45bd-a714-f9c4b8e8b5c2/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=125dbe4e-94ba-45bd-a714-f9c4b8e8b5c2,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=125dbe4e-94ba-45bd-a714-f9c4b8e8b5c2,125dbe4e-94ba-45bd-a714-f9c4b8e8b5c2,,,
HUMAN PRESCRIPTION DRUG LABEL,OINTMENT,TOPICAL,NDA,018604,Zovirax,ACYCLOVIR,2020/10/31,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,,BAUSCH HEALTH US LLC,1982/03/29-,0187-0993,X4HES1O11F,acyclovir,acyclovir,X4HES1O11F,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/50278e0e-da1e-45ee-9fcb-672b2a219911/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=50278e0e-da1e-45ee-9fcb-672b2a219911,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=50278e0e-da1e-45ee-9fcb-672b2a219911,50278e0e-da1e-45ee-9fcb-672b2a219911,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",BUCCAL,NDA,203791,Sitavig,ACYCLOVIR,2020/06/11,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,1982,EPI HEALTH INC,2014/03/20-,71403-049,X4HES1O11F,ACYCLOVIR,ACYCLOVIR,X4HES1O11F,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/cd6e902d-5753-49ec-bec8-b27176ed978e/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd6e902d-5753-49ec-bec8-b27176ed978e,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=cd6e902d-5753-49ec-bec8-b27176ed978e,cd6e902d-5753-49ec-bec8-b27176ed978e,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, DELAYED RELEASE",BUCCAL,NDA,203791,Sitavig,ACYCLOVIR,2017/04/18,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,,CIPHER PHARMACEUTICALS US LLC,2014/03/20-,68712-049,X4HES1O11F,ACYCLOVIR,ACYCLOVIR,X4HES1O11F,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/00f7425a-6236-47ff-a087-f28f8cdb1aec/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=00f7425a-6236-47ff-a087-f28f8cdb1aec,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=00f7425a-6236-47ff-a087-f28f8cdb1aec,00f7425a-6236-47ff-a087-f28f8cdb1aec,,,
HUMAN PRESCRIPTION DRUG LABEL,CREAM,TOPICAL,NDA,022436,Xerese,ACYCLOVIR AND HYDROCORTISONE,2020/08/03,Corticosteroid; Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor; Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,2009,BAUSCH HEALTH US LLC,2009/07/31-,0187-5104,WI4X0X7BPJ; X4HES1O11F,ACYCLOVIR; HYDROCORTISONE,ACYCLOVIR; HYDROCORTISONE,WI4X0X7BPJ; X4HES1O11F,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/3b6ac164-0f1e-4f36-94a1-1fdb07d710f5/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3b6ac164-0f1e-4f36-94a1-1fdb07d710f5,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3b6ac164-0f1e-4f36-94a1-1fdb07d710f5,3b6ac164-0f1e-4f36-94a1-1fdb07d710f5,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, COATED",ORAL,NDA,216340,KRAZATI,ADAGRASIB,2021/12/10,,2022,MIRATI THERAPEUTICS INC,2022/12/12-,80739-812,8EOO6HQF8Y,ADAGRASIB,ADAGRASIB,8EOO6HQF8Y,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/0b8bf078-34c2-4f45-9012-38a8ac082b01/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0b8bf078-34c2-4f45-9012-38a8ac082b01,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0b8bf078-34c2-4f45-9012-38a8ac082b01,0b8bf078-34c2-4f45-9012-38a8ac082b01,,,
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA,021753,DIFFERIN,ADAPALENE,2023/12/27,Retinoid,1996,GALDERMA LABORATORIES L P,completed:2009/09/15-2027/02/01,0299-5918,1L4806J2QF,Adapalene,ADAPALENE,1L4806J2QF,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/a0031324-92a6-4c11-90e2-c2818f7278ec/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a0031324-92a6-4c11-90e2-c2818f7278ec,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a0031324-92a6-4c11-90e2-c2818f7278ec,a0031324-92a6-4c11-90e2-c2818f7278ec,,,
HUMAN PRESCRIPTION DRUG LABEL,LOTION,TOPICAL,NDA,022502,Differin,ADAPALENE,2023/04/19,Retinoid,1996,GALDERMA LABORATORIES L P,completed:2010/03/31-2025/12/31,0299-5912,1L4806J2QF,Adapalene,Adapalene,1L4806J2QF,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/78b3c1f9-0fc2-4075-6cf0-454a492e6ae3/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=78b3c1f9-0fc2-4075-6cf0-454a492e6ae3,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=78b3c1f9-0fc2-4075-6cf0-454a492e6ae3,78b3c1f9-0fc2-4075-6cf0-454a492e6ae3,,,
HUMAN PRESCRIPTION DRUG LABEL,CREAM,TOPICAL,NDA,020748,Differin,ADAPALENE,2022/10/31,Retinoid,,GALDERMA LABORATORIES L P,2009/11/24-,0299-5915,1L4806J2QF,ADAPALENE,ADAPALENE,1L4806J2QF,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/ab4b2120-57fc-6c61-b239-37c21789c065/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ab4b2120-57fc-6c61-b239-37c21789c065,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ab4b2120-57fc-6c61-b239-37c21789c065,ab4b2120-57fc-6c61-b239-37c21789c065,,,
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA,207917,epiduo forte,ADAPALENE AND BENZOYL PEROXIDE,2022/04/27,Retinoid,2015,GALDERMA LABORATORIES L P,2015/07/01-,0299-5906,1L4806J2QF; W9WZN9A0GM,ADAPALENE; BENZOYL PEROXIDE,ADAPALENE; BENZOYL PEROXIDE,1L4806J2QF; W9WZN9A0GM,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f4e5d381-098a-4c93-9ff0-002cae46daac/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f4e5d381-098a-4c93-9ff0-002cae46daac,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f4e5d381-098a-4c93-9ff0-002cae46daac,f4e5d381-098a-4c93-9ff0-002cae46daac,,,
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,NDA,022320,EPIDUO,ADAPALENE AND BENZOYL PEROXIDE,2018/02/21,Retinoid,2008,GALDERMA LABORATORIES L P,2008/12/08-,0299-5908,1L4806J2QF; W9WZN9A0GM,ADAPALENE; BENZOYL PEROXIDE,ADAPALENE; BENZOYL PEROXIDE,1L4806J2QF; W9WZN9A0GM,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/a0610f87-3b39-458a-afa3-66be1fefd1de/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a0610f87-3b39-458a-afa3-66be1fefd1de,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a0610f87-3b39-458a-afa3-66be1fefd1de,a0610f87-3b39-458a-afa3-66be1fefd1de,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,021449,Hepsera,ADEFOVIR DIPIVOXIL,2009/10/27,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,2002,EXCELLA GMBH,2002/09/20-,46014-0501,U6Q8Z01514,Adefovir Dipivoxil,adefovir,6GQP90I798,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/80595d45-2224-47d1-bd5c-4b11a824e5bd/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=80595d45-2224-47d1-bd5c-4b11a824e5bd,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=80595d45-2224-47d1-bd5c-4b11a824e5bd,80595d45-2224-47d1-bd5c-4b11a824e5bd,,,
HUMAN PRESCRIPTION DRUG LABEL,IMPLANT,SUBCUTANEOUS,NDA,210797,SCENESSE,AFAMELANOTIDE,2023/10/16,,2019,CLINUVEL INC,2019/12/31-,73372-0116,QW68W3J66U,AFAMELANOTIDE,AFAMELANOTIDE,QW68W3J66U,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/94f53286-11dd-7fbb-e053-2a95a90a7c48/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=94f53286-11dd-7fbb-e053-2a95a90a7c48,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=94f53286-11dd-7fbb-e053-2a95a90a7c48,94f53286-11dd-7fbb-e053-2a95a90a7c48,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,201292,Gilotrif,AFATINIB,2022/07/11,Kinase Inhibitor,2013,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,2013/07/12-,0597-0137; 0597-0138; 0597-0141,41UD74L59M,AFATINIB,AFATINIB,41UD74L59M,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/fd638e5e-8032-e7ca-0179-95e96ab5d387/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fd638e5e-8032-e7ca-0179-95e96ab5d387,fd638e5e-8032-e7ca-0179-95e96ab5d387,,,
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAUTERINE,NDA,212279,ExEm Foam,AIR POLYMER-TYPE A INTRAUTERINE FOAM,2023/11/08,Non-Standardized Chemical Allergen,2019,GISKIT PHARMA B V,2020/10/16-,73254-310,059QF0KO0R; M825OX60H9; PDC6A3C0OX,GLYCERIN; HYDROXYETHYL CELLULOSE (5500 MPA.S AT 2%); WATER,GLYCERIN; HYDROXYETHYL CELLULOSE (5500 MPA.S AT 2%); WATER,059QF0KO0R; M825OX60H9; PDC6A3C0OX,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b8cb3e4d-ed22-4e88-abca-508c794b4b91/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b8cb3e4d-ed22-4e88-abca-508c794b4b91,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b8cb3e4d-ed22-4e88-abca-508c794b4b91,b8cb3e4d-ed22-4e88-abca-508c794b4b91,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,020666,Albendazole,ALBENDAZOLE,2019/09/30,Anthelmintic,1996,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,1996/06/11-,0115-1701,F4216019LN,ALBENDAZOLE,ALBENDAZOLE,F4216019LN,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/06b5eefc-0b95-4862-b9b6-770063f2adf0/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=06b5eefc-0b95-4862-b9b6-770063f2adf0,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=06b5eefc-0b95-4862-b9b6-770063f2adf0,06b5eefc-0b95-4862-b9b6-770063f2adf0,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,020666,ALBENZA,ALBENDAZOLE,2019/09/16,Anthelmintic,1996,AMNEAL PHARMACEUTICALS LLC,1996/06/11-,64896-693,F4216019LN,ALBENDAZOLE,ALBENDAZOLE,F4216019LN,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/1977a867-0ee1-44c0-8da3-fe59c48699f5/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1977a867-0ee1-44c0-8da3-fe59c48699f5,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1977a867-0ee1-44c0-8da3-fe59c48699f5,1977a867-0ee1-44c0-8da3-fe59c48699f5,,,
HUMAN PRESCRIPTION DRUG LABEL,"AEROSOL, METERED",INHALATION,NDA,020983,VENTOLIN HFA,ALBUTEROL SULFATE,2024/04/26,beta2-Adrenergic Agonist,1981,GLAXOSMITHKLINE LLC,2006/06/09-,0173-0682,021SEF3731,ALBUTEROL SULFATE,ALBUTEROL,QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/d92c5d6b-ff10-4087-36a2-1cfc464cb967/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d92c5d6b-ff10-4087-36a2-1cfc464cb967,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=d92c5d6b-ff10-4087-36a2-1cfc464cb967,d92c5d6b-ff10-4087-36a2-1cfc464cb967,,,
HUMAN PRESCRIPTION DRUG LABEL,"AEROSOL, METERED",INHALATION,NDA,020503,Proventil HFA,ALBUTEROL SULFATE,2023/06/14,beta2-Adrenergic Agonist,,SANDOZ,completed:2021/05/04-2024/09/30,66758-959,021SEF3731,ALBUTEROL SULFATE,ALBUTEROL,QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/917b6148-61f2-4e4d-9560-d261bac97060/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=917b6148-61f2-4e4d-9560-d261bac97060,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=917b6148-61f2-4e4d-9560-d261bac97060,917b6148-61f2-4e4d-9560-d261bac97060,,,
HUMAN PRESCRIPTION DRUG LABEL,"AEROSOL, METERED",INHALATION,NDA,021457,PROAIR HFA,ALBUTEROL SULFATE,2022/09/28,beta2-Adrenergic Agonist,1981,TEVA RESPIRATORY LLC,completed:2012/12/03-2024/06/21,59310-579,021SEF3731,ALBUTEROL SULFATE,ALBUTEROL,QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/8e701d71-1dcb-4b84-bada-84e4f04f5e62/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8e701d71-1dcb-4b84-bada-84e4f04f5e62,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8e701d71-1dcb-4b84-bada-84e4f04f5e62,8e701d71-1dcb-4b84-bada-84e4f04f5e62,,,
HUMAN PRESCRIPTION DRUG LABEL,"POWDER, METERED",INHALATION,NDA,205636,ProAir RespiClick,ALBUTEROL SULFATE,2022/09/27,beta2-Adrenergic Agonist,1981,TEVA RESPIRATORY LLC,2015/04/23-,59310-580,021SEF3731,ALBUTEROL SULFATE,ALBUTEROL,QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/9324e2eb-26fd-4f14-9f10-e5aa467306f4/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9324e2eb-26fd-4f14-9f10-e5aa467306f4,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9324e2eb-26fd-4f14-9f10-e5aa467306f4,9324e2eb-26fd-4f14-9f10-e5aa467306f4,,,
HUMAN PRESCRIPTION DRUG LABEL,"INHALANT; POWDER, METERED",INHALATION,NDA,205636,ProAir Digihaler,ALBUTEROL SULFATE,2022/06/01,beta2-Adrenergic Agonist,1981,TEVA RESPIRATORY LLC,2019/10/04-; completed:2019/10/04-2026/02/28,59310-117; 59310-540,021SEF3731,ALBUTEROL SULFATE,ALBUTEROL,QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/667ce3ec-5217-4b10-b712-f3e54fbbf087/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=667ce3ec-5217-4b10-b712-f3e54fbbf087,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=667ce3ec-5217-4b10-b712-f3e54fbbf087,667ce3ec-5217-4b10-b712-f3e54fbbf087,,,
HUMAN PRESCRIPTION DRUG LABEL,"AEROSOL, METERED",INHALATION,NDA,020503,Proventil HFA,ALBUTEROL SULFATE,2019/10/07,beta2-Adrenergic Agonist,,MERCK SHARP AND DOHME CORP,2001/10/01-,0085-1132,021SEF3731,Albuterol Sulfate,Albuterol,QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f454947c-6055-474b-bf35-29a379e01aa3/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f454947c-6055-474b-bf35-29a379e01aa3,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f454947c-6055-474b-bf35-29a379e01aa3,f454947c-6055-474b-bf35-29a379e01aa3,,,
HUMAN PRESCRIPTION DRUG LABEL,"AEROSOL, METERED",INHALATION,NDA,021457,ALBUTEROL SULFATE HFA,ALBUTEROL SULFATE,2019/04/24,beta2-Adrenergic Agonist,,H J HARKINS COMPANY INC,2019/03/25-,76519-1171,021SEF3731,ALBUTEROL SULFATE,ALBUTEROL,QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/874bcb9b-3b51-1375-e053-2a95a90ad559/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=874bcb9b-3b51-1375-e053-2a95a90ad559,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=874bcb9b-3b51-1375-e053-2a95a90ad559,874bcb9b-3b51-1375-e053-2a95a90ad559,,,
HUMAN PRESCRIPTION DRUG LABEL,"AEROSOL, METERED",INHALATION,NDA,214070,AIRSUPRA,ALBUTEROL SULFATE AND BUDESONIDE,2024/03/07,Corticosteroid; beta2-Adrenergic Agonist,2023,ASTRAZENECA PHARMACEUTICALS LP,2023/10/02-,0310-9080,021SEF3731; Q3OKS62Q6X,ALBUTEROL SULFATE; BUDESONIDE,ALBUTEROL; BUDESONIDE,Q3OKS62Q6X; QF8SVZ843E,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e60aa9f9-5139-44df-b886-ebddc3c7eb13/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e60aa9f9-5139-44df-b886-ebddc3c7eb13,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e60aa9f9-5139-44df-b886-ebddc3c7eb13,e60aa9f9-5139-44df-b886-ebddc3c7eb13,,,
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION/ DROPS,OPHTHALMIC,NDA,022134,LASTACAFT,ALCAFTADINE,2020/06/09,Histamine-1 Receptor Antagonist,2010,ALLERGAN INC,2010/11/01-,0023-4290,7Z8O94ECSX,alcaftadine,alcaftadine,7Z8O94ECSX,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/17d37e8d-7825-424b-b6ca-0a85d0bf4694/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=17d37e8d-7825-424b-b6ca-0a85d0bf4694,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=17d37e8d-7825-424b-b6ca-0a85d0bf4694,17d37e8d-7825-424b-b6ca-0a85d0bf4694,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",PERCUTANEOUS,NDA,207987,Dehydrated Alcohol,ALCOHOL,2023/10/05,,1946,BPI LABS LLC,2018/10/24-,54288-105,3K9958V90M,ALCOHOL,ALCOHOL,3K9958V90M,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/314b1dab-8f4f-49ae-a105-f974842818b8/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=314b1dab-8f4f-49ae-a105-f974842818b8,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=314b1dab-8f4f-49ae-a105-f974842818b8,314b1dab-8f4f-49ae-a105-f974842818b8,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",PERCUTANEOUS,NDA,207987,Dehydrated Alcohol,ALCOHOL,2021/12/10,,1946,BELCHER PHARMACEUTICALS LLC,2018/07/02-,62250-105,3K9958V90M,ALCOHOL,ALCOHOL,3K9958V90M,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/379e7c93-14a7-42d0-920f-a6b5eca34b99/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=379e7c93-14a7-42d0-920f-a6b5eca34b99,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=379e7c93-14a7-42d0-920f-a6b5eca34b99,379e7c93-14a7-42d0-920f-a6b5eca34b99,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,208434,ALECENSA,ALECTINIB HYDROCHLORIDE,2024/04/30,Kinase Inhibitor,2015,GENENTECH INC,2015/12/11-,50242-130,P9YY73LO6J,ALECTINIB HYDROCHLORIDE,ALECTINIB,LIJ4CT1Z3Y,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/42c49deb-713b-427a-9670-08af08adcffb/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=42c49deb-713b-427a-9670-08af08adcffb,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=42c49deb-713b-427a-9670-08af08adcffb,42c49deb-713b-427a-9670-08af08adcffb,,,
HUMAN PRESCRIPTION DRUG LABEL,TABLET,ORAL,NDA,020560,FOSAMAX,ALENDRONATE SODIUM,2024/04/16,Bisphosphonate,1995,ORGANON LLC,2021/06/01-,78206-135,2UY4M2U3RA,ALENDRONATE SODIUM,ALENDRONIC ACID,X1J18R4W8P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/14e931fd-2c5f-4d90-b7db-5980706f4a56/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=14e931fd-2c5f-4d90-b7db-5980706f4a56,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=14e931fd-2c5f-4d90-b7db-5980706f4a56,14e931fd-2c5f-4d90-b7db-5980706f4a56,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EFFERVESCENT",ORAL,NDA,202344,Binosto,ALENDRONATE SODIUM,2023/12/20,Bisphosphonate,1995,ASCEND THERAPEUTICS,2012/09/03-,17139-400,2UY4M2U3RA,ALENDRONATE SODIUM,ALENDRONIC ACID,X1J18R4W8P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b278a11a-b8d7-49f3-9b38-29b67c4c417e/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b278a11a-b8d7-49f3-9b38-29b67c4c417e,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b278a11a-b8d7-49f3-9b38-29b67c4c417e,b278a11a-b8d7-49f3-9b38-29b67c4c417e,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EFFERVESCENT",ORAL,NDA,202344,Binosto,ALENDRONATE SODIUM,2023/11/16,Bisphosphonate,1995,RADIUS HEALTH INC,2012/03/12-,70539-400,2UY4M2U3RA,ALENDRONATE SODIUM,ALENDRONIC ACID,X1J18R4W8P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/09765234-01bc-40f7-b9bb-c167056f3909/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=09765234-01bc-40f7-b9bb-c167056f3909,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=09765234-01bc-40f7-b9bb-c167056f3909,09765234-01bc-40f7-b9bb-c167056f3909,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EFFERVESCENT",ORAL,NDA,202344,Binosto,ALENDRONATE SODIUM,2018/10/22,Bisphosphonate,1995,MISSION PHARMACAL COMPANY,2012/09/03-,0178-0101,2UY4M2U3RA,ALENDRONATE SODIUM,ALENDRONIC ACID,X1J18R4W8P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/ad670460-141b-e481-f713-7aed9485de8d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ad670460-141b-e481-f713-7aed9485de8d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ad670460-141b-e481-f713-7aed9485de8d,ad670460-141b-e481-f713-7aed9485de8d,,,
